review_id,text,rating,label,restaurant_id,text_clean,text_tokenized
14,汤底很浓郁，而且笑容很亲切，装修很有特色，性价比很高，会再来的。推荐给大家！,4,1,31,汤底很浓郁 而且笑容很亲切 装修很有特色 性价比很高 会再来的 推荐给大家,汤底 浓郁 而且 笑容 亲切 装修 特色 性价比 推荐 大家
15,说实话，菜很难吃，而且服务很不专业，很没格调，完全不值这个价，后悔来了。。,2,0,24,说实话 菜很难吃 而且服务很不专业 很没格调 完全不值这个价 后悔来了,说实话 难吃 而且 服务 专业 格调 完全 不值 后悔
16,<p>说实话，公司团建选的这里，色香味俱全，上菜速度很快，空间很大，同事们都说好！ 就是价格稍贵。！</p>,4,1,4,说实话 公司团建选的这里 色香味俱全 上菜速度很快 空间很大 同事们都说好 就是价格稍贵,说实话 公司 团建 这里 色香味 俱全 上菜 速度 很快 空间 很大 同事 说好 就是 价格 稍贵
17,个人觉得，这家店真的太好吃了，创意菜很有特色，有求必应，装修很有特色，强烈推荐！！,4,1,37,个人觉得 这家店真的太好吃了 创意菜很有特色 有求必应 装修很有特色 强烈推荐,个人 觉得 这家 真的 好吃 创意 特色 有求必应 装修 特色 强烈推荐
18,客观评价，再也不会来了，厨师水平一般，问什么都不知道，音乐很吵，体验很差！ 不过价格倒是不贵。～,1,0,47,客观评价 再也不会来了 厨师水平一般 问什么都不知道 音乐很吵 体验很差 不过价格倒是不贵,客观 评价 再也不会 厨师 水平 一般 知道 音乐 体验 很差 不过 价格 不贵
19,说实话，今天和朋友来吃，菜品非常新鲜，主动帮忙换骨碟，灯光很温馨，下次还来！推荐给大家！,4,1,18,说实话 今天和朋友来吃 菜品非常新鲜 主动帮忙换骨碟 灯光很温馨 下次还来 推荐给大家,说实话 今天 朋友 菜品 非常 新鲜 主动 帮忙 换骨 灯光 温馨 下次 还来 推荐 大家
20,今天和朋友来吃，色香味俱全，服务很专业，装修很有特色，下次还来！,4,1,11,今天和朋友来吃 色香味俱全 服务很专业 装修很有特色 下次还来,今天 朋友 色香味 俱全 服务 专业 装修 特色 下次 还来
21,客观评价，已经是第三次来了，口味很地道，主动帮忙换骨碟，环境很干净，每次都有惊喜！。,4,1,19,客观评价 已经是第三次来了 口味很地道 主动帮忙换骨碟 环境很干净 每次都有惊喜,客观 评价 已经 第三次 口味 地道 主动 帮忙 换骨 环境 干净 每次 惊喜
22,公司团建选的这里，菜品很精致，介绍菜品很详细，氛围很好，同事们都说好！推荐给大家！,4,1,4,公司团建选的这里 菜品很精致 介绍菜品很详细 氛围很好 同事们都说好 推荐给大家,公司 团建 这里 菜品 精致 介绍 菜品 详细 氛围 同事 说好 推荐 大家
23,朋友说好吃才来的，没想到汤底很寡淡，服务很不专业，氛围很差，太失望了！,1,0,16,朋友说好吃才来的 没想到汤底很寡淡 服务很不专业 氛围很差 太失望了,朋友 好吃 没想到 汤底 寡淡 服务 专业 氛围 很差 失望
24,不得不说，路过随便进来的，没想到整体感觉很棒，分量很足，笑容很亲切，环境很干净，意外之喜！。,4,1,16,不得不说 路过随便进来的 没想到整体感觉很棒 分量很足 笑容很亲切 环境很干净 意外之喜,不得不 路过 随便 进来 没想到 整体 感觉 很棒 分量 很足 笑容 亲切 环境 干净 意外 之喜
25,慕名而来，果然没让我失望，菜品很精致，响应很及时，座位很舒服，五星好评！,5,1,7,慕名而来 果然没让我失望 菜品很精致 响应很及时 座位很舒服 五星好评,慕名而来 果然 失望 菜品 精致 响应 及时 座位 舒服 五星 好评
26,说实话，口感很丰富，而且响应很及时，氛围很好，性价比很高，会再来的。～,5,1,35,说实话 口感很丰富 而且响应很及时 氛围很好 性价比很高 会再来的,说实话 口感 丰富 而且 响应 及时 氛围 性价比
27,讲真，环境看起来不错，实际厨师水平一般，服务很不专业，环境很脏，中看不中用！,3,0,8,讲真 环境看起来不错 实际厨师水平一般 服务很不专业 环境很脏 中看不中用,讲真 环境 看起来 不错 实际 厨师 水平 一般 服务 专业 环境 很脏 中看 不中用
28,不得不说，朋友说好吃才来的，没想到招牌菜也就那样，叫半天没人理，太吵了，太失望了！！,3,0,33,不得不说 朋友说好吃才来的 没想到招牌菜也就那样 叫半天没人理 太吵了 太失望了,不得不 朋友 好吃 没想到 招牌菜 那样 半天 人理 太吵 失望
29,讲真，这家店真的太好吃了，味道超级棒，主动帮忙换骨碟，很安静适合聊天，强烈推荐！ 就是价格稍贵。,4,1,28,讲真 这家店真的太好吃了 味道超级棒 主动帮忙换骨碟 很安静适合聊天 强烈推荐 就是价格稍贵,讲真 这家 真的 好吃 味道 超级 主动 帮忙 换骨 安静 适合 聊天 强烈推荐 就是 价格 稍贵
30,等了半天终于吃上，结果味道太咸了，服务员服务很不周到，环境卫生做得很差，差评！👍,1,0,3,等了半天终于吃上 结果味道太咸了 服务员服务很不周到 环境卫生做得很差 差评,半天 终于 结果 味道 太咸 服务员 服务 不周到 环境卫生 差评
31,客观评价，再也不会来了，菜品很粗糙，服务员爱答不理，装修很老旧，体验很差！,2,0,11,客观评价 再也不会来了 菜品很粗糙 服务员爱答不理 装修很老旧 体验很差,客观 评价 再也不会 菜品 粗糙 服务员 爱答不理 装修 老旧 体验 很差
32,不得不说，汤底很寡淡，而且骨碟堆成山也不换，环境很脏，完全不值这个价，后悔来了。👍,1,0,16,不得不说 汤底很寡淡 而且骨碟堆成山也不换 环境很脏 完全不值这个价 后悔来了,不得不 汤底 寡淡 而且 骨碟 成山 不换 环境 很脏 完全 不值 后悔
33,个人觉得，今天和朋友来吃，调味恰到好处，服务员态度特别好，座位很舒服，下次还来！～,4,1,15,个人觉得 今天和朋友来吃 调味恰到好处 服务员态度特别好 座位很舒服 下次还来,个人 觉得 今天 朋友 调味 恰到好处 服务员 态度 特别 座位 舒服 下次 还来
34,讲真，调味恰到好处，而且有求必应，很安静适合聊天，性价比很高，会再来的。～,4,1,35,讲真 调味恰到好处 而且有求必应 很安静适合聊天 性价比很高 会再来的,讲真 调味 恰到好处 而且 有求必应 安静 适合 聊天 性价比
35,客观评价，这家店真的太好吃了，味道超级棒，响应很及时，氛围很好，强烈推荐！ 就是位置不太好找。～,5,1,39,客观评价 这家店真的太好吃了 味道超级棒 响应很及时 氛围很好 强烈推荐 就是位置不太好找,客观 评价 这家 真的 好吃 味道 超级 响应 及时 氛围 强烈推荐 就是 位置 不太好
36,等了半天终于吃上，结果调味太重了，服务员全程黑脸，环境空间很小很挤，差评！ 不过位置挺好找的。推荐给大家！,2,0,47,等了半天终于吃上 结果调味太重了 服务员全程黑脸 环境空间很小很挤 差评 不过位置挺好找的 推荐给大家,半天 终于 结果 调味 太重 服务员 全程 黑脸 环境 空间 很小 很挤 差评 不过 位置 好找 推荐 大家
37,不得不说，再也不会来了，食材不新鲜，骨碟堆成山也不换，装修很老旧，体验很差！,3,0,20,不得不说 再也不会来了 食材不新鲜 骨碟堆成山也不换 装修很老旧 体验很差,不得不 再也不会 食材 新鲜 骨碟 成山 不换 装修 老旧 体验 很差
38,客观评价，网上评价那么好，实际调味太重了，叫半天没人理，卫生做得很差，名不副实！,1,0,36,客观评价 网上评价那么好 实际调味太重了 叫半天没人理 卫生做得很差 名不副实,客观 评价 网上 评价 那么 实际 调味 太重 半天 人理 卫生 名不副实
39,不得不说，踩雷了，菜很难吃，服务员爱答不理，音乐很吵，不推荐大家来。下次还会再来的！,3,0,33,不得不说 踩雷了 菜很难吃 服务员爱答不理 音乐很吵 不推荐大家来 下次还会再来的,不得不 难吃 服务员 爱答不理 音乐 推荐 大家 下次 还会
40,讲真，慕名而来，果然没让我失望，菜品很精致，上菜速度很快，很安静适合聊天，五星好评！ 就是价格稍贵。！,5,1,3,讲真 慕名而来 果然没让我失望 菜品很精致 上菜速度很快 很安静适合聊天 五星好评 就是价格稍贵,讲真 慕名而来 果然 失望 菜品 精致 上菜 速度 很快 安静 适合 聊天 五星 好评 就是 价格 稍贵
41,说实话，已经是第三次来了，分量很足，上菜速度很快，座位很舒服，每次都有惊喜！👍,5,1,42,说实话 已经是第三次来了 分量很足 上菜速度很快 座位很舒服 每次都有惊喜,说实话 已经 第三次 分量 很足 上菜 速度 很快 座位 舒服 每次 惊喜
42,个人觉得，等了半天终于吃上，结果厨师水平一般，服务员骨碟堆成山也不换，环境空间很小很挤，差评！,1,0,8,个人觉得 等了半天终于吃上 结果厨师水平一般 服务员骨碟堆成山也不换 环境空间很小很挤 差评,个人 觉得 半天 终于 结果 厨师 水平 一般 服务员 骨碟 成山 不换 环境 空间 很小 很挤 差评
43,个人觉得，已经是第三次来了，菜品很精致，服务很专业，卫生做得很好，每次都有惊喜！推荐给大家！,5,1,29,个人觉得 已经是第三次来了 菜品很精致 服务很专业 卫生做得很好 每次都有惊喜 推荐给大家,个人 觉得 已经 第三次 菜品 精致 服务 专业 卫生 每次 惊喜 推荐 大家
44,个人觉得，团购来的，结果卖相很差，叫半天没人理，空间很小很挤，区别对待太明显了！！,3,0,19,个人觉得 团购来的 结果卖相很差 叫半天没人理 空间很小很挤 区别对待太明显了,个人 觉得 团购 结果 卖相 很差 半天 人理 空间 很小 很挤 区别对待 明显
45,客观评价，朋友推荐来的，食材很新鲜，服务很专业，装修很有特色，果然名不虚传！,4,1,27,客观评价 朋友推荐来的 食材很新鲜 服务很专业 装修很有特色 果然名不虚传,客观 评价 朋友 推荐 食材 新鲜 服务 专业 装修 特色 果然 名不虚传
46,已经是第三次来了，调味恰到好处，服务员态度特别好，空间很大，每次都有惊喜！👍,5,1,20,已经是第三次来了 调味恰到好处 服务员态度特别好 空间很大 每次都有惊喜,已经 第三次 调味 恰到好处 服务员 态度 特别 空间 很大 每次 惊喜
47,讲真，等了一个小时才上菜，口感很单一，服务很不专业，很没格调，太影响心情了！👍,1,0,43,讲真 等了一个小时才上菜 口感很单一 服务很不专业 很没格调 太影响心情了,讲真 小时 上菜 口感 单一 服务 专业 格调 影响 心情
48,等了一个小时才上菜，味道不正宗，服务很不周到，座位很硬，太影响心情了！👍,1,0,6,等了一个小时才上菜 味道不正宗 服务很不周到 座位很硬 太影响心情了,小时 上菜 味道 正宗 服务 不周到 座位 影响 心情
49,不得不说，创意菜很奇怪，而且问什么都不知道，氛围很差，完全不值这个价，后悔来了。！,1,0,25,不得不说 创意菜很奇怪 而且问什么都不知道 氛围很差 完全不值这个价 后悔来了,不得不 创意 奇怪 而且 知道 氛围 很差 完全 不值 后悔
50,周末和家人来聚餐，每道菜都很好吃，上菜速度很快，座位很舒服，大家都很满意！～,4,1,42,周末和家人来聚餐 每道菜都很好吃 上菜速度很快 座位很舒服 大家都很满意,周末 家人 聚餐 每道菜 好吃 上菜 速度 很快 座位 舒服 大家 满意
51,个人觉得，这家店真的太好吃了，口味很地道，服务员很热情，环境很干净，强烈推荐！,4,1,45,个人觉得 这家店真的太好吃了 口味很地道 服务员很热情 环境很干净 强烈推荐,个人 觉得 这家 真的 好吃 口味 地道 服务员 热情 环境 干净 强烈推荐
53,说实话，等了一个小时才上菜，调味太重了，服务员爱答不理，装修很老旧，太影响心情了！,3,0,44,说实话 等了一个小时才上菜 调味太重了 服务员爱答不理 装修很老旧 太影响心情了,说实话 小时 上菜 调味 太重 服务员 爱答不理 装修 老旧 影响 心情
54,不得不说，等了半天终于吃上，结果厨师水平一般，服务员全程黑脸，环境环境很脏，差评！,2,0,27,不得不说 等了半天终于吃上 结果厨师水平一般 服务员全程黑脸 环境环境很脏 差评,不得不 半天 终于 结果 厨师 水平 一般 服务员 全程 黑脸 环境 环境 很脏 差评
55,等了半天终于吃上，结果调味太重了，服务员没人管，环境座位很硬，差评！推荐给大家！,3,0,35,等了半天终于吃上 结果调味太重了 服务员没人管 环境座位很硬 差评 推荐给大家,半天 终于 结果 调味 太重 服务员 没人管 环境 座位 差评 推荐 大家
56,团购来的，结果调味太重了，全程黑脸，太吵了，区别对待太明显了！。,2,0,30,团购来的 结果调味太重了 全程黑脸 太吵了 区别对待太明显了,团购 结果 调味 太重 全程 黑脸 太吵 区别对待 明显
57,说实话，等了一个小时才上菜，食材不新鲜，服务员态度很差，座位很硬，太影响心情了！～,2,0,39,说实话 等了一个小时才上菜 食材不新鲜 服务员态度很差 座位很硬 太影响心情了,说实话 小时 上菜 食材 新鲜 服务员 态度 很差 座位 影响 心情
58,客观评价，踩雷了，口感很单一，服务员态度很差，卫生做得很差，不推荐大家来。 不过价格倒是不贵。下次还会再来的！,1,0,31,客观评价 踩雷了 口感很单一 服务员态度很差 卫生做得很差 不推荐大家来 不过价格倒是不贵 下次还会再来的,客观 评价 口感 单一 服务员 态度 很差 卫生 推荐 大家 不过 价格 不贵 下次 还会
59,说实话，团购来的，结果卖相很差，服务员态度很差，装修很老旧，区别对待太明显了！。,2,0,36,说实话 团购来的 结果卖相很差 服务员态度很差 装修很老旧 区别对待太明显了,说实话 团购 结果 卖相 很差 服务员 态度 很差 装修 老旧 区别对待 明显
60,讲真，周末和家人来聚餐，味道很正宗，服务很专业，灯光很温馨，大家都很满意！。,5,1,13,讲真 周末和家人来聚餐 味道很正宗 服务很专业 灯光很温馨 大家都很满意,讲真 周末 家人 聚餐 味道 正宗 服务 专业 灯光 温馨 大家 满意
61,讲真，公司团建选的这里，厨师水平很高，服务很周到，空间很大，同事们都说好！推荐给大家！,4,1,13,讲真 公司团建选的这里 厨师水平很高 服务很周到 空间很大 同事们都说好 推荐给大家,讲真 公司 团建 这里 厨师 水平 服务 周到 空间 很大 同事 说好 推荐 大家
62,朋友推荐来的，招牌菜名不虚传，响应很及时，环境很干净，果然名不虚传！推荐给大家！,4,1,41,朋友推荐来的 招牌菜名不虚传 响应很及时 环境很干净 果然名不虚传 推荐给大家,朋友 推荐 招牌菜 名不虚传 响应 及时 环境 干净 果然 名不虚传 推荐 大家
63,个人觉得，团购来的，结果味道太咸了，服务员态度很差，很没格调，区别对待太明显了！～,2,0,31,个人觉得 团购来的 结果味道太咸了 服务员态度很差 很没格调 区别对待太明显了,个人 觉得 团购 结果 味道 太咸 服务员 态度 很差 格调 区别对待 明显
64,讲真，今天和朋友来吃，调味恰到好处，介绍菜品很详细，装修很有特色，下次还来！,4,1,49,讲真 今天和朋友来吃 调味恰到好处 介绍菜品很详细 装修很有特色 下次还来,讲真 今天 朋友 调味 恰到好处 介绍 菜品 详细 装修 特色 下次 还来
65,讲真，路过随便进来的，没想到整体感觉很棒，厨师水平很高，服务很专业，音乐很好听，意外之喜！👍,5,1,40,讲真 路过随便进来的 没想到整体感觉很棒 厨师水平很高 服务很专业 音乐很好听 意外之喜,讲真 路过 随便 进来 没想到 整体 感觉 很棒 厨师 水平 服务 专业 音乐 好听 意外 之喜
66,等了半天终于吃上，结果厨师水平一般，服务员服务员爱答不理，环境空间很小很挤，差评！！,2,0,1,等了半天终于吃上 结果厨师水平一般 服务员服务员爱答不理 环境空间很小很挤 差评,半天 终于 结果 厨师 水平 一般 服务员 服务员 爱答不理 环境 空间 很小 很挤 差评
67,个人觉得，路过随便进来的，没想到性价比超高，每道菜都很好吃，服务员态度特别好，空间很大，意外之喜！,5,1,41,个人觉得 路过随便进来的 没想到性价比超高 每道菜都很好吃 服务员态度特别好 空间很大 意外之喜,个人 觉得 路过 随便 进来 没想到 性价比 超高 每道菜 好吃 服务员 态度 特别 空间 很大 意外 之喜
68,讲真，再也不会来了，调味太重了，上菜速度特别慢，卫生做得很差，体验很差！,1,0,20,讲真 再也不会来了 调味太重了 上菜速度特别慢 卫生做得很差 体验很差,讲真 再也不会 调味 太重 上菜 速度 特别 卫生 体验 很差
69,讲真，环境看起来不错，实际汤底很寡淡，叫半天没人理，座位很硬，中看不中用！👍,1,0,32,讲真 环境看起来不错 实际汤底很寡淡 叫半天没人理 座位很硬 中看不中用,讲真 环境 看起来 不错 实际 汤底 寡淡 半天 人理 座位 中看 不中用
70,路过随便进来的，没想到体验超出预期，汤底很浓郁，主动帮忙换骨碟，灯光很温馨，意外之喜！ 就是价格稍贵。。,5,1,12,路过随便进来的 没想到体验超出预期 汤底很浓郁 主动帮忙换骨碟 灯光很温馨 意外之喜 就是价格稍贵,路过 随便 进来 没想到 体验 超出 预期 汤底 浓郁 主动 帮忙 换骨 灯光 温馨 意外 之喜 就是 价格 稍贵
71,个人觉得，已经是第三次来了，汤底很浓郁，响应很及时，氛围很好，每次都有惊喜！,5,1,21,个人觉得 已经是第三次来了 汤底很浓郁 响应很及时 氛围很好 每次都有惊喜,个人 觉得 已经 第三次 汤底 浓郁 响应 及时 氛围 每次 惊喜
72,<p>客观评价，食材不新鲜，而且骨碟堆成山也不换，座位很硬，完全不值这个价，后悔来了。推荐给大家！</p>,2,0,17,客观评价 食材不新鲜 而且骨碟堆成山也不换 座位很硬 完全不值这个价 后悔来了 推荐给大家,客观 评价 食材 新鲜 而且 骨碟 成山 不换 座位 完全 不值 后悔 推荐 大家
73,说实话，周末和家人来聚餐，创意菜很有特色，服务很专业，环境很干净，大家都很满意！推荐给大家！,5,1,41,说实话 周末和家人来聚餐 创意菜很有特色 服务很专业 环境很干净 大家都很满意 推荐给大家,说实话 周末 家人 聚餐 创意 特色 服务 专业 环境 干净 大家 满意 推荐 大家
74,个人觉得，这家店真的太好吃了，口味很地道，响应很及时，卫生做得很好，强烈推荐！下次还会再来的！,4,1,39,个人觉得 这家店真的太好吃了 口味很地道 响应很及时 卫生做得很好 强烈推荐 下次还会再来的,个人 觉得 这家 真的 好吃 口味 地道 响应 及时 卫生 强烈推荐 下次 还会
75,说实话，菜很难吃，而且服务很不专业，环境很脏，完全不值这个价，后悔来了。,3,0,10,说实话 菜很难吃 而且服务很不专业 环境很脏 完全不值这个价 后悔来了,说实话 难吃 而且 服务 专业 环境 很脏 完全 不值 后悔
76,说实话，第一次来这家店，口感很丰富，响应很及时，音乐很好听，体验非常好！下次还会再来的！,5,1,39,说实话 第一次来这家店 口感很丰富 响应很及时 音乐很好听 体验非常好 下次还会再来的,说实话 第一次 这家 口感 丰富 响应 及时 音乐 好听 体验 非常 下次 还会
77,讲真，慕名而来，果然没让我失望，创意菜很有特色，上菜速度很快，很安静适合聊天，五星好评！,5,1,38,讲真 慕名而来 果然没让我失望 创意菜很有特色 上菜速度很快 很安静适合聊天 五星好评,讲真 慕名而来 果然 失望 创意 特色 上菜 速度 很快 安静 适合 聊天 五星 好评
78,不得不说，团购来的，结果创意菜很奇怪，服务很不周到，座位很硬，区别对待太明显了！推荐给大家！,3,0,21,不得不说 团购来的 结果创意菜很奇怪 服务很不周到 座位很硬 区别对待太明显了 推荐给大家,不得不 团购 结果 创意 奇怪 服务 不周到 座位 区别对待 明显 推荐 大家
79,个人觉得，再也不会来了，分量很少，骨碟堆成山也不换，空间很小很挤，体验很差！ 不过价格倒是不贵。👍,2,0,42,个人觉得 再也不会来了 分量很少 骨碟堆成山也不换 空间很小很挤 体验很差 不过价格倒是不贵,个人 觉得 再也不会 分量 很少 骨碟 成山 不换 空间 很小 很挤 体验 很差 不过 价格 不贵
80,团购来的，结果菜品不新鲜，服务很不周到，卫生做得很差，区别对待太明显了！下次还会再来的！,3,0,1,团购来的 结果菜品不新鲜 服务很不周到 卫生做得很差 区别对待太明显了 下次还会再来的,团购 结果 菜品 新鲜 服务 不周到 卫生 区别对待 明显 下次 还会
81,讲真，等了一个小时才上菜，创意菜很奇怪，服务很不周到，装修很老旧，太影响心情了！～,2,0,6,讲真 等了一个小时才上菜 创意菜很奇怪 服务很不周到 装修很老旧 太影响心情了,讲真 小时 上菜 创意 奇怪 服务 不周到 装修 老旧 影响 心情
82,说实话，朋友说好吃才来的，没想到调味太重了，没人管，座位很硬，太失望了！ 不过环境还可以。。,3,0,28,说实话 朋友说好吃才来的 没想到调味太重了 没人管 座位很硬 太失望了 不过环境还可以,说实话 朋友 好吃 没想到 调味 太重 没人管 座位 失望 不过 环境 可以
83,讲真，等了半天终于吃上，结果卖相很差，服务员服务很不周到，环境太吵了，差评！ 不过环境还可以。～,1,0,34,讲真 等了半天终于吃上 结果卖相很差 服务员服务很不周到 环境太吵了 差评 不过环境还可以,讲真 半天 终于 结果 卖相 很差 服务员 服务 不周到 环境 太吵 差评 不过 环境 可以
84,说实话，慕名而来，果然没让我失望，招牌菜名不虚传，服务很周到，装修很有特色，五星好评！下次还会再来的！,5,1,30,说实话 慕名而来 果然没让我失望 招牌菜名不虚传 服务很周到 装修很有特色 五星好评 下次还会再来的,说实话 慕名而来 果然 失望 招牌菜 名不虚传 服务 周到 装修 特色 五星 好评 下次 还会
85,团购来的，结果菜很难吃，服务员态度很差，座位很硬，区别对待太明显了！,2,0,38,团购来的 结果菜很难吃 服务员态度很差 座位很硬 区别对待太明显了,团购 结果 难吃 服务员 态度 很差 座位 区别对待 明显
86,客观评价，周末和家人来聚餐，味道很正宗，响应很及时，座位很舒服，大家都很满意！下次还会再来的！,5,1,23,客观评价 周末和家人来聚餐 味道很正宗 响应很及时 座位很舒服 大家都很满意 下次还会再来的,客观 评价 周末 家人 聚餐 味道 正宗 响应 及时 座位 舒服 大家 满意 下次 还会
87,踩雷了，菜品不新鲜，骨碟堆成山也不换，太吵了，不推荐大家来。下次还会再来的！,1,0,50,踩雷了 菜品不新鲜 骨碟堆成山也不换 太吵了 不推荐大家来 下次还会再来的,菜品 新鲜 骨碟 成山 不换 太吵 推荐 大家 下次 还会
88,讲真，环境看起来不错，实际厨师水平一般，没人管，空间很小很挤，中看不中用！,3,0,42,讲真 环境看起来不错 实际厨师水平一般 没人管 空间很小很挤 中看不中用,讲真 环境 看起来 不错 实际 厨师 水平 一般 没人管 空间 很小 很挤 中看 不中用
89,不得不说，已经是第三次来了，菜品非常新鲜，笑容很亲切，灯光很温馨，每次都有惊喜！ 就是人有点多。👍,4,1,35,不得不说 已经是第三次来了 菜品非常新鲜 笑容很亲切 灯光很温馨 每次都有惊喜 就是人有点多,不得不 已经 第三次 菜品 非常 新鲜 笑容 亲切 灯光 温馨 每次 惊喜 就是 有点
90,个人觉得，网上评价那么好，实际口感很单一，服务很不专业，太吵了，名不副实！。,1,0,8,个人觉得 网上评价那么好 实际口感很单一 服务很不专业 太吵了 名不副实,个人 觉得 网上 评价 那么 实际 口感 单一 服务 专业 太吵 名不副实
91,今天和朋友来吃，招牌菜名不虚传，服务员很热情，音乐很好听，下次还来！ 就是人有点多。。,5,1,44,今天和朋友来吃 招牌菜名不虚传 服务员很热情 音乐很好听 下次还来 就是人有点多,今天 朋友 招牌菜 名不虚传 服务员 热情 音乐 好听 下次 还来 就是 有点
92,个人觉得，踩雷了，分量很少，骨碟堆成山也不换，灯光很昏暗，不推荐大家来。,1,0,21,个人觉得 踩雷了 分量很少 骨碟堆成山也不换 灯光很昏暗 不推荐大家来,个人 觉得 分量 很少 骨碟 成山 不换 灯光 昏暗 推荐 大家
93,客观评价，再也不会来了，菜品很粗糙，上菜速度特别慢，座位很硬，体验很差！,3,0,20,客观评价 再也不会来了 菜品很粗糙 上菜速度特别慢 座位很硬 体验很差,客观 评价 再也不会 菜品 粗糙 上菜 速度 特别 座位 体验 很差
94,不得不说，等了半天终于吃上，结果味道太咸了，服务员服务员爱答不理，环境卫生做得很差，差评！推荐给大家！,1,0,10,不得不说 等了半天终于吃上 结果味道太咸了 服务员服务员爱答不理 环境卫生做得很差 差评 推荐给大家,不得不 半天 终于 结果 味道 太咸 服务员 服务员 爱答不理 环境卫生 差评 推荐 大家
95,讲真，等了半天终于吃上，结果创意菜很奇怪，服务员问什么都不知道，环境很没格调，差评！,2,0,29,讲真 等了半天终于吃上 结果创意菜很奇怪 服务员问什么都不知道 环境很没格调 差评,讲真 半天 终于 结果 创意 奇怪 服务员 知道 环境 格调 差评
96,客观评价，网上评价那么好，实际味道太咸了，没人管，卫生做得很差，名不副实！。,3,0,30,客观评价 网上评价那么好 实际味道太咸了 没人管 卫生做得很差 名不副实,客观 评价 网上 评价 那么 实际 味道 太咸 没人管 卫生 名不副实
97,说实话，菜品很精致，而且笑容很亲切，环境很干净，性价比很高，会再来的。,4,1,49,说实话 菜品很精致 而且笑容很亲切 环境很干净 性价比很高 会再来的,说实话 菜品 精致 而且 笑容 亲切 环境 干净 性价比
98,环境看起来不错，实际口味一般般，服务员爱答不理，灯光很昏暗，中看不中用！。,1,0,9,环境看起来不错 实际口味一般般 服务员爱答不理 灯光很昏暗 中看不中用,环境 看起来 不错 实际 口味 一般般 服务员 爱答不理 灯光 昏暗 中看 不中用
